#模拟的流程控制矩阵，用若干参数描述一个模块的特征，多个模块拼接实现复杂流程的模拟
#温度		时间		通量1		通量2		模块名称	是否输出构型（1是/0否）
0			0			0			0			initiate		1
300			1			2.00E+18	2.00E+18	charge001	1
300			1			2.00E+18	2.00E+18	charge002	1
300			1			2.00E+18	2.00E+18	charge003	1
300			1			2.00E+18	2.00E+18	charge004	1
300			1			2.00E+18	2.00E+18	charge005	1
300			1			2.00E+18	2.00E+18	charge006	1
300			1			2.00E+18	2.00E+18	charge007	1
300			1			2.00E+18	2.00E+18	charge008	1
300			1			2.00E+18	2.00E+18	charge009	1
300			1			2.00E+18	2.00E+18	charge010	1
